ID,Cage,Expt,BL_wt,Drug,Tm_White,Freq_White,Tm_Black,Freq_Black,Preferred_Side,Perc_Pref
5,2,Hotplate,22,Sal,71.7,22,78.6,22,Black,52.29540918
6,2,Hotplate,21,Sal,55.79,18,149,23,Black,72.75745886
7,2,Hotplate,23,Sal,76.63,11,138.73,18,Black,64.41771917
8,3,Hotplate,22,NorBNI,37.23,5,216.81,6,Black,85.34482759
9,3,Hotplate,21,NorBNI,126.75,13,104.32,10,White,54.8535076
10,3,Hotplate,19,NorBNI,23.8,7,194.29,10,Black,89.08707414
35,10,Hotplate,21,Sal,77.43,15,137,12,Black,63.89031386
36,10,Hotplate,20,Sal,127.33,6,146.71,1,Black,53.53598015
37,10,Hotplate,22,Sal,42.95,16,123.08,20,Black,74.13118111
38,11,Hotplate,21,NorBNI,57.76,9,123.48,13,Black,68.13065548
39,11,Hotplate,22,NorBNI,92.41,13,147.1,18,Black,61.41705983
40,11,Hotplate,20,NorBNI,66.06,13,146.61,12,Black,68.93779094
41,12,Hotplate,29,Sal,81.12,10,142.41,9,Black,63.70956919
42,12,Hotplate,20,Sal,55.99,14,178.33,20,Black,76.10532605
43,13,Hotplate,33,NorBNI,50.23,15,77.76,15,Black,60.75474646
44,13,Hotplate,29,NorBNI,90.8,15,100.81,16,Black,52.61207661
45,14,VF,28,Sal,62.09,14,131.48,19,Black,67.92374851
46,14,VF,32,Sal,67.87,12,156.89,15,Black,69.80334579
47,14,VF,25,Sal,121.99,13,95.41,15,White,56.11315547
48,14,VF,24,Sal,61.78,14,155.17,16,Black,71.52339249
49,15,Hotplate,23,Sal,99.65,15,69.35,13,White,58.96449704
50,15,Hotplate,25,Sal,82.57,14,115.97,15,Black,58.41140324
51,16,VF,21,NorBNI,53.61,8,104.58,13,Black,66.1103736
52,16,VF,21,NorBNI,63.43,11,151.83,17,Black,70.53330856
53,16,VF,29,NorBNI,67.72,12,124.64,13,Black,64.79517571
54,16,VF,20,NorBNI,60.48,11,170.17,11,Black,73.7784522
55,17,Hotplate,21,NorBNI,56.77,9,78.19,11,Black,57.93568465
56,17,Hotplate,22,NorBNI,86.33,9,133.18,8,Black,60.6714956
57,17,Hotplate,26,NorBNI,36.76,7,79.2,13,Black,68.29941359
58,18,VF,21,Sal,42.46,15,201.51,22,Black,82.59622085
59,18,VF,23,Sal,67.42,13,151.99,13,Black,69.27213892
60,18,VF,25,Sal,32.82,10,122.51,12,Black,78.87079122
61,18,VF,23,Sal,124.37,12,129.53,12,Black,51.01614809
62,19,Hotplate,24,Sal,67.05,14,118.7,20,Black,63.90309556
63,19,Hotplate,24,Sal,42.26,9,168,9,Black,79.90107486
64,20,VF,34,NorBNI,66.58,6,107.71,9,Black,61.79930002
65,20,VF,26,NorBNI,100.13,14,137.15,16,Black,57.80091032
66,20,VF,24,NorBNI,65.57,11,163.71,14,Black,71.40177948
67,20,VF,24,NorBNI,62.46,11,160.32,11,Black,71.96337194
68,21,Hotplate,27,NorBNI,62.12,13,130.33,15,Black,67.7214861
69,21,Hotplate,27,NorBNI,65.85,17,121.14,21,Black,64.78421306
