ID ,Drug,Expt,TMT,Open_Tm,Open_Freq,Center_Tm,Center_Freq,Closed_Tm,Closed_Freq,Rear_Tm,Rear_Freq,FourPaws_Tm,FourPaws_Freq,HeadDip_Tm,HeadDip_Freq,Groom_Tm,Groom_Freq
5,Saline,Hotplate,TMT,0,0,34.95,7,263.73,8,10.76,17,0,0,0,0,7.67,3
6,Saline,Hotplate,TMT,9.63,6,109.15,30,180.38,23,4.45,8,0.47,1,17.78,35,0,0
7,Saline,Hotplate,TMT,7.57,3,50.48,17,241.22,14,13.77,20,0,0,11.98,27,2.5,1
8,Nor-BNI,Hotplate,TMT,2.38,1,29.47,8,267.32,7,10.39,14,0,0,0,0,9.48,5
9,Nor-BNI,Hotplate,TMT,3.28,1,25.41,5,270.55,5,7.05,9,0,0,10.52,11,9.76,3
10,Nor-BNI,Hotplate,TMT,3.78,1,30.57,7,264.53,6,14.13,22,0,0,8.92,14,14.32,4
35,Saline,Hotplate,TMT,1.96,1,37.41,13,259.81,12,22.5,30,0,0,6.01,13,3.61,2
36,Saline,Hotplate,TMT,7.06,4,198.95,11,93.15,7,2.54,5,0,0,12.66,14,12.35,3
37,Saline,Hotplate,TMT,8.13,3,46.78,16,244.54,13,21.69,27,2.03,1,14.8,29,0,0
38,Nor-BNI,Hotplate,TMT,2.47,1,28.81,9,267.96,9,24.96,33,0,0,5.96,15,12.38,5
39,Nor-BNI,Hotplate,TMT,6.61,6,36.36,21,256.26,16,26.83,39,0,0,11.17,22,11.63,7
40,Nor-BNI,Hotplate,TMT,5.91,2,35.49,8,257.84,6,15.73,20,0,0,10.53,20,4.94,2
41,Saline,Hotplate,TMT,15.45,5,51.06,23,232.18,17,21.63,37,2.32,1,12.23,30,8.36,3
42,Saline,Hotplate,TMT,2.4,2,43.15,16,253.64,14,11.97,18,0,0,9.78,16,5.6,3
43,Nor-BNI,Hotplate,TMT,11.49,3,41.24,14,245.46,12,1.99,3,3.95,1,9.96,19,22.41,8
44,Nor-BNI,Hotplate,TMT,17.21,4,72.98,22,208.42,17,8.28,9,9.85,2,18.76,32,14.94,3
45,Saline,VF,TMT,33.73,5,51.06,20,214.64,15,15.18,25,25.85,4,10.08,21,12.6,8
46,Saline,VF,TMT,36.18,9,47.58,25,215.75,17,24.57,37,16.71,3,13.92,21,7.74,3
47,Saline,VF,TMT,0.49,1,43.38,9,255.29,8,13.31,18,0,0,12.22,21,15.49,8
48,Saline,VF,TMT,3.45,3,38.63,14,256.74,11,15.17,23,0,0,8.26,12,2.91,1
49,Saline,Hotplate,TMT,14.11,4,34.59,20,250.01,15,27.78,36,3.36,2,8.22,17,1.95,2
50,Saline,Hotplate,TMT,9.61,5,33.53,19,256.46,14,16.96,23,0,0,6.43,17,4.21,2
51,Nor-BNI,VF,TMT,34.58,4,44.78,18,217.8,15,20.65,28,27.32,3,11.71,17,7.34,3
52,Nor-BNI,VF,TMT,42.36,5,47.04,20,209.86,15,20,28,27.1,3,9.2,27,5.13,2
53,Nor-BNI,VF,TMT,39.24,5,50.3,18,209.57,13,23.97,32,28.17,3,12.99,27,5.94,5
54,Nor-BNI,VF,TMT,1.88,1,26.98,9,270.44,8,22.03,18,0,0,6.9,13,15.48,6
55,Nor-BNI,Hotplate,TMT,3.48,1,26.39,8,268.31,7,5.96,8,0,0,6.46,12,2.22,1
56,Nor-BNI,Hotplate,TMT,0.85,1,61.58,10,236.69,9,6.19,9,0,0,13,23,15.96,9
57,Nor-BNI,Hotplate,TMT,5.79,3,49.8,16,243.64,13,33.5,34,0,0,15.61,28,7.76,2
58,Saline,VF,TMT,19.11,7,44.4,22,235.02,15,17.98,31,2.51,2,10.38,30,4.36,5
59,Saline,VF,TMT,0.68,2,33.41,8,265.3,6,5.41,9,0,0,5.55,11,5.39,3
60,Saline,VF,TMT,14.49,4,41.89,17,242.97,12,21.96,26,0,0,10.22,23,7.28,1
