ID,Task,Drug,Expt,Frz_Tm,Frz_Freq,Perc,Av_Dur
5,TMT side,Saline,Hotplate,27.15,39,9.05,0.696153846
6,TMT side,Saline,Hotplate,38.89,60,12.96333333,0.648166667
7,TMT side,Saline,Hotplate,16.1,31,5.366666667,0.519354839
8,TMT side,Nor-BNI,Hotplate,56.38,56,18.79333333,1.006785714
9,TMT side,Nor-BNI,Hotplate,81.51,86,27.17,0.947790698
10,TMT side,Nor-BNI,Hotplate,84.39,52,28.13,1.622884615
35,TMT side,Saline,Hotplate,64.62,77,21.54,0.839220779
36,TMT side,Saline,Hotplate,25.57,48,8.523333333,0.532708333
37,TMT side,Saline,Hotplate,15.21,28,5.07,0.543214286
38,TMT side,Nor-BNI,Hotplate,22.52,44,7.506666667,0.511818182
39,TMT side,Nor-BNI,Hotplate,14.6,29,4.866666667,0.503448276
40,TMT side,Nor-BNI,Hotplate,69.41,70,23.13666667,0.991571429
41,TMT side,Saline,Hotplate,17.75,23,5.916666667,0.77173913
42,TMT side,Saline,Hotplate,46.01,49,15.33666667,0.938979592
43,TMT side,Nor-BNI,Hotplate,95.73,87,31.91,1.100344828
44,TMT side,Nor-BNI,Hotplate,98.97,84,32.99,1.178214286
45,TMT side,Saline,VF,16.03,27,5.343333333,0.593703704
46,TMT side,Saline,VF,28.77,40,9.59,0.71925
47,TMT side,Saline,VF,36.14,48,12.04666667,0.752916667
48,TMT side,Saline,VF,24.19,34,8.063333333,0.711470588
49,TMT side,Saline,Hotplate,30.25,39,10.08333333,0.775641026
50,TMT side,Saline,Hotplate,23.57,34,7.856666667,0.693235294
51,TMT side,Nor-BNI,VF,68.52,64,22.84,1.070625
52,TMT side,Nor-BNI,VF,49.24,59,16.41333333,0.834576271
53,TMT side,Nor-BNI,VF,47.67,56,15.89,0.85125
54,TMT side,Nor-BNI,VF,18.32,24,6.106666667,0.763333333
55,TMT side,Nor-BNI,Hotplate,66.71,69,22.23666667,0.966811594
56,TMT side,Nor-BNI,Hotplate,78.48,66,26.16,1.189090909
57,TMT side,Nor-BNI,Hotplate,40.91,41,13.63666667,0.997804878
58,TMT side,Saline,VF,10.12,26,3.373333333,0.389230769
59,TMT side,Saline,VF,44.62,66,14.87333333,0.676060606
60,TMT side,Saline,VF,15.99,27,5.33,0.592222222
61,TMT side,Saline,VF,20.9,29,6.966666667,0.720689655
62,TMT side,Saline,Hotplate,2.23,5,0.743333333,0.446
63,TMT side,Saline,Hotplate,79.1,69,26.36666667,1.146376812
64,TMT side,Nor-BNI,VF,39.2,56,13.06666667,0.7
65,TMT side,Nor-BNI,VF,15.59,29,5.196666667,0.537586207
66,TMT side,Nor-BNI,VF,87.83,67,29.27666667,1.310895522
67,TMT side,Nor-BNI,VF,54.91,55,18.30333333,0.998363636
68,TMT side,Nor-BNI,Hotplate,74.5,73,24.83333333,1.020547945
69,TMT side,Nor-BNI,Hotplate,37.16,51,12.38666667,0.728627451
5,Neutral side,Saline,Hotplate,45.2,61,15.06666667,0.740983607
6,Neutral side,Saline,Hotplate,39.06,61,13.02,0.640327869
7,Neutral side,Saline,Hotplate,18.35,34,6.116666667,0.539705882
8,Neutral side,Nor-BNI,Hotplate,47.54,60,15.84666667,0.792333333
9,Neutral side,Nor-BNI,Hotplate,75.59,84,25.19666667,0.899880952
10,Neutral side,Nor-BNI,Hotplate,68.95,56,22.98333333,1.23125
35,Neutral side,Saline,Hotplate,16.9,35,5.633333333,0.482857143
36,Neutral side,Saline,Hotplate,55.08,81,18.36,0.68
37,Neutral side,Saline,Hotplate,13.59,22,4.53,0.617727273
38,Neutral side,Nor-BNI,Hotplate,25.78,37,8.593333333,0.696756757
39,Neutral side,Nor-BNI,Hotplate,20.15,33,6.716666667,0.610606061
40,Neutral side,Nor-BNI,Hotplate,82.05,78,27.35,1.051923077
41,Neutral side,Saline,Hotplate,13.42,24,4.473333333,0.559166667
42,Neutral side,Saline,Hotplate,91.3,89,30.43333333,1.025842697
43,Neutral side,Nor-BNI,Hotplate,89.28,95,29.76,0.939789474
44,Neutral side,Nor-BNI,Hotplate,64.28,72,21.42666667,0.892777778
45,Neutral side,Saline,VF,25.21,39,8.403333333,0.646410256
46,Neutral side,Saline,VF,45.37,62,15.12333333,0.731774194
47,Neutral side,Saline,VF,32.72,43,10.90666667,0.760930233
48,Neutral side,Saline,VF,58.13,60,19.37666667,0.968833333
49,Neutral side,Saline,Hotplate,57.95,68,19.31666667,0.852205882
50,Neutral side,Saline,Hotplate,52.34,80,17.44666667,0.65425
51,Neutral side,Nor-BNI,VF,31.38,46,10.46,0.682173913
52,Neutral side,Nor-BNI,VF,59.1,70,19.7,0.844285714
53,Neutral side,Nor-BNI,VF,19.17,27,6.39,0.71
54,Neutral side,Nor-BNI,VF,18.86,28,6.286666667,0.673571429
55,Neutral side,Nor-BNI,Hotplate,67.56,81,22.52,0.834074074
56,Neutral side,Nor-BNI,Hotplate,78.19,86,26.06333333,0.909186047
57,Neutral side,Nor-BNI,Hotplate,25.5,34,8.5,0.75
58,Neutral side,Saline,VF,27.82,59,9.273333333,0.471525424
59,Neutral side,Saline,VF,60.29,90,20.09666667,0.669888889
60,Neutral side,Saline,VF,27.23,47,9.076666667,0.579361702
61,Neutral side,Saline,VF,13.72,25,4.573333333,0.5488
62,Neutral side,Saline,Hotplate,3.58,9,1.193333333,0.397777778
63,Neutral side,Saline,Hotplate,71.58,88,23.86,0.813409091
64,Neutral side,Nor-BNI,VF,40.18,48,13.39333333,0.837083333
65,Neutral side,Nor-BNI,VF,43.5,62,14.5,0.701612903
66,Neutral side,Nor-BNI,VF,91.98,80,30.66,1.14975
67,Neutral side,Nor-BNI,VF,71.97,56,23.99,1.285178571
68,Neutral side,Nor-BNI,Hotplate,35.55,42,11.85,0.846428571
69,Neutral side,Nor-BNI,Hotplate,94.68,94,31.56,1.007234043
